Merchant-ID;Razao-de-Split;Elo-VAN;D+2;Split-Debito;Split-Credito;Split-Visa;Razao-Social-EC;Fornecedor;Data-de-Inicio;Stonecode-EC
604563;0.5;0;0;1;1;1;Chilli Beans IT Center;Chilli Beans;01/12/2017;282756191
752614;0.5;0;0;1;1;1;Chilli Beans IT Center;Chilli Beans;20/12/2017;439903614
604530;0.5;0;0;1;1;1;A.L.C. de Souza Eireli - ME ;Chilli Beans;20/12/2017;110592020
752600;0.5;0;0;1;1;1;A.L.C. de Souza Eireli - ME ;Chilli Beans;20/12/2017;178473156
604550;0.5;0;0;1;1;1;CHILLI PARQUE SHOPPING;Chilli Beans;01/12/2017;114020798
604574;0.5;0;0;1;1;1;J.R.A Martins Eireli - ME;Chilli Beans;20/12/2017;128602334
604619;0.5;0;0;1;1;1;GS COMERCIO LTDA;Chilli Beans;26/12/2017;148182526
604592;0.5;0;0;1;1;1;CHILLI AMAPA GARDEN;Chilli Beans;20/12/2017;162409833
604581;0.5;0;0;1;1;1;M.A.C CARVALHO Eireli - ME;Chilli Beans;20/12/2017;204869417
604539;0.5;0;0;1;1;1;VB PACHECO EIRELI - ME;Chilli Beans;20/12/2017;460007376
604612;0.5;0;0;1;1;1;M.Z DA V. CARVALHO;Chilli Beans;20/12/2017;591658389
604609;0.5;0;0;1;1;1;Chilli Beans Aeroporto;Chilli Beans;01/12/2017;603783373
604607;0.5;0;0;1;1;1;M.Z DA V. CARVALHO;Chilli Beans;20/12/2017;657543753
752609;0.5;1;0;1;1;1;Chilli Beans Aeroporto;Chilli Beans;01/12/2017;239009022
752616;0.5;1;0;1;1;1;O.M. DO ROSARIO;Chilli Beans;20/12/2017;603721286
752604;0.5;0;0;1;1;1;Chilli Beans Amapa Gar;Chilli Beans;20/12/2017;103038388
752613;0.5;0;0;1;1;1;M.Z DA V. CARVALHO;Chilli Beans;20/12/2017;112874348
752610;0.5;0;0;1;1;1;Chilli Beans Formosa A;Chilli Beans;20/12/2017;199596851
