Stonecode-EC;Razao-de-Split;Elo-VAN;D+2;Split-Debito;Split-Credito;Split-Visa;Razao-Social-EC;Fornecedor;Data-de-Inicio;Merchant-ID
282756191;0.5;Sub;0;1;1;1;Chilli Beans IT Center;Chilli Beans;2017-12-01;604563
439903614;0.5;Sub;0;1;1;1;Chilli Beans IT Center;Chilli Beans;2017-12-20;752614
110592020;0.5;Sub;0;1;1;1;A.L.C. de Souza Eireli - ME ;Chilli Beans;2017-12-20;604530
178473156;0.5;Sub;0;1;1;1;A.L.C. de Souza Eireli - ME ;Chilli Beans;2017-12-20;752600
114020798;0.5;Sub;0;1;1;1;CHILLI PARQUE SHOPPING;Chilli Beans;2017-12-01;604550
128602334;0.5;Sub;0;1;1;1;J.R.A Martins Eireli - ME;Chilli Beans;2017-12-20;604574
148182526;0.5;Sub;0;1;1;1;GS COMERCIO LTDA;Chilli Beans;2017-12-26;604619
162409833;0.5;Sub;0;1;1;1;CHILLI AMAPA GARDEN;Chilli Beans;2017-12-20;604592
204869417;0.5;Sub;0;1;1;1;M.A.C CARVALHO Eireli - ME;Chilli Beans;2017-12-20;604581
460007376;0.5;Sub;0;1;1;1;VB PACHECO EIRELI - ME;Chilli Beans;2017-12-20;604539
591658389;0.5;Sub;0;1;1;1;M.Z DA V. CARVALHO;Chilli Beans;2017-12-20;604612
603783373;0.5;Sub;0;1;1;1;Chilli Beans Aeroporto;Chilli Beans;2017-12-01;604609
657543753;0.5;Sub;0;1;1;1;M.Z DA V. CARVALHO;Chilli Beans;2017-12-20;604607
239009022;0.5;1;0;1;1;1;Chilli Beans Aeroporto;Chilli Beans;2017-12-01;752609
603721286;0.5;1;0;1;1;1;O.M. DO ROSARIO;Chilli Beans;2017-12-20;752616
103038388;0.5;Sub;0;1;1;1;Chilli Beans Amapa Gar;Chilli Beans;2017-12-20;752604
112874348;0.5;Sub;0;1;1;1;M.Z DA V. CARVALHO;Chilli Beans;2017-12-20;752613
199596851;0.5;Sub;0;1;1;1;Chilli Beans Formosa A;Chilli Beans;2017-12-20;752610
403289169;0.5;Sub;0;1;1;1;VB PACHECO EIRELI - ME;Chilli Beans;2017-12-20;752617
469078457;0.5;Sub;0;1;1;1;M.A.C CARVALHO Eireli - ME;Chilli Beans;2017-12-20;752605
554403273;0.5;Sub;0;1;1;1;J.R.A Martins Eireli - ME;Chilli Beans;2017-12-20;752603
101852257;0.6;Full;0;1;1;1;Kuhn e Kuhn;Chilli Beans;2017-12-04;750080
129005985;0.6;Full;0;1;1;1;CHILLI BEANS N. HAMB;Chilli Beans;2017-11-15;744125
142522753;0.6;Sub;0;1;1;1;CHILLI BEANS IPIRANGA;Chilli Beans;2017-11-15;744133
210073765;0.6;Sub;0;1;1;1;Kuhn Loja Rua Paraup;Chilli Beans;2017-12-01;750154
323074775;0.6;Full;0;1;1;1;CHILLI BEANS C.;Chilli Beans;2017-11-15;744115
484440062;0.6;Full;0;1;1;1;CHILLI BEANS GRAVATAI;Chilli Beans;2017-11-15;744107
166208724;0.6;Full;0;1;1;1;CHILLI BEANS WALLING;Chilli Beans;2017-11-15;744128
189022096;0.6;Full;0;1;1;1;Chilli Beans MOXL;Chilli Beans;2017-11-28;752590
110145850;0.6;1;0;1;1;1;CHILLI BEANS PALLADIUM;Chilli Beans;2017-11-13;382189
170550942;0.6;Sub;0;1;1;1;CHILLI BEANS S. LEO;Chilli Beans;2017-11-15;744120
103844931;0.6;Sub;0;1;1;1;I. LUCINI MATRIZ 15;Chilli Beans;2017-11-18;745037
107125781;0.6;Sub;0;1;1;1;CHILLI BEANS DIVL;Chilli Beans;2017-12-01;753319
109122112;0.6;Sub;0;1;1;1;Chilli Beans BVV;Chilli Beans;2017-11-28;752612
117514548;0.6;Sub;0;1;1;1;A F DA SILVA - OVER FILIAL 8;Chilli Beans;2017-11-18;745043
134190217;0.6;Sub;0;1;1;1;OPEN MATRIZ 5;Chilli Beans;2017-11-18;744862
156780939;0.6;Sub;0;1;1;1;Chilli Beans VVQ;Chilli Beans;2017-11-28;752645
177710976;0.6;Sub;0;1;1;1;Chilli Beans VIXQ;Chilli Beans;2017-11-28;752594
195628505;0.6;Sub;0;1;1;1;Chilli Beans VVL;Chilli Beans;2017-11-28;752611
365672613;0.6;Sub;0;1;1;1;CHILLI BEANS BELLA;Chilli Beans;2017-11-15;744102
450805742;0.6;Sub;0;1;1;1;Chilli Beans PDCL;Chilli Beans;2017-11-28;752598
453228165;0.6;Sub;0;1;1;1;I. LUCINI FILIAL 16;Chilli Beans;2017-11-18;744847
