AffiliationCode;AcquirerTransactionKey;InstallmentNumber;BrandId;TransactionGrossAmount;TransactionNetAmount;TransactionAdvancedNetAmount;PresentationDate;OriginalDueDate;AdvanceDate;Channel
148182526;32981863030435;1;1;199,990000;95,860207;95,331059;17/08/2018;17/09/2018;05/09/2018;Portal Cliente
148182526;32881857500295;1;1;124,990000;59,902707;59,572044;16/08/2018;17/09/2018;05/09/2018;Portal Cliente
148182526;32981863628734;1;1;113,320000;54,304276;54,004516;17/08/2018;17/09/2018;05/09/2018;Portal Cliente
148182526;32881858525527;1;1;96,980000;46,482514;46,225931;16/08/2018;17/09/2018;05/09/2018;Portal Cliente
148182526;33081869737666;1;1;96,660000;46,329138;46,073401;18/08/2018;17/09/2018;05/09/2018;Portal Cliente
148182526;32881860610488;1;1;95,600000;45,841080;45,588037;16/08/2018;17/09/2018;05/09/2018;Portal Cliente
148182526;33081871651092;1;2;88,000000;42,178400;41,945575;18/08/2018;17/09/2018;05/09/2018;Portal Cliente
148182526;33081871864122;1;1;79,960000;38,324828;38,113275;18/08/2018;17/09/2018;05/09/2018;Portal Cliente
148182526;32981863990832;1;2;74,990000;35,937707;35,739331;17/08/2018;17/09/2018;05/09/2018;Portal Cliente
148182526;33081867260341;1;1;74,990000;35,937707;35,739331;17/08/2018;17/09/2018;05/09/2018;Portal Cliente
148182526;33081871232113;1;171;61,960000;29,096416;28,935804;18/08/2018;17/09/2018;05/09/2018;Portal Cliente
148182526;32881859206658;1;2;59,980000;28,748414;28,589723;16/08/2018;17/09/2018;05/09/2018;Portal Cliente
148182526;33081872202555;1;171;51,980000;24,409808;24,275066;18/08/2018;17/09/2018;05/09/2018;Portal Cliente
148182526;32981866933879;1;2;50,000000;23,965000;23,832713;17/08/2018;17/09/2018;05/09/2018;Portal Cliente
148182526;32981865700014;1;1;31,600000;15,145880;15,062275;17/08/2018;17/09/2018;05/09/2018;Portal Cliente
148182526;33181877060848;1;2;179,980000;86,750360;86,231593;19/08/2018;18/09/2018;05/09/2018;Portal Cliente
148182526;33181877086453;1;1;59,980000;28,748414;28,576498;19/08/2018;18/09/2018;05/09/2018;Portal Cliente
148182526;33281878885869;1;2;629,960000;303,640720;301,685274;20/08/2018;19/09/2018;05/09/2018;Portal Cliente
148182526;33281881039904;1;2;289,980000;139,770360;138,870239;20/08/2018;19/09/2018;05/09/2018;Portal Cliente
148182526;33281881936677;1;1;83,320000;39,925276;39,668157;20/08/2018;19/09/2018;05/09/2018;Portal Cliente
148182526;33281881896518;1;1;67,980000;32,582814;32,372981;20/08/2018;19/09/2018;05/09/2018;Portal Cliente
148182526;33381882128673;1;1;64,980000;31,144914;30,944341;20/08/2018;19/09/2018;05/09/2018;Portal Cliente
148182526;33281881185961;1;2;49,980000;23,955414;23,801141;20/08/2018;19/09/2018;05/09/2018;Portal Cliente
148182526;33281880794837;1;2;39,980000;19,162414;19,039008;20/08/2018;19/09/2018;05/09/2018;Portal Cliente
591658389;33281881462222;1;2;59,800000;28,662140;28,477556;20/08/2018;19/09/2018;05/09/2018;Portal Cliente
591658389;33281878841949;1;1;50,000000;24,100000;23,944796;20/08/2018;19/09/2018;05/09/2018;Portal Cliente
591658389;33281880309742;1;2;49,990000;23,965207;23,810871;20/08/2018;19/09/2018;05/09/2018;Portal Cliente
591658389;33281878934659;1;2;39,980000;19,162414;19,039008;20/08/2018;19/09/2018;05/09/2018;Portal Cliente
657543753;33381882269906;1;1;126,660000;60,708138;60,317178;20/08/2018;19/09/2018;05/09/2018;Portal Cliente
657543753;33281879643025;1;1;57,980000;27,789814;27,610848;20/08/2018;19/09/2018;05/09/2018;Portal Cliente
148182526;33381883820479;1;171;124,990000;58,690304;58,285341;21/08/2018;20/09/2018;05/09/2018;Portal Cliente
148182526;33381886414853;1;1;45,000000;21,568500;21,419677;21/08/2018;20/09/2018;05/09/2018;Portal Cliente
591658389;33381885836727;1;2;99,980000;47,920414;47,589763;21/08/2018;20/09/2018;05/09/2018;Portal Cliente
591658389;33381883166365;1;2;59,980000;28,748414;28,550050;21/08/2018;20/09/2018;05/09/2018;Portal Cliente
591658389;33381885388335;1;1;47,480000;22,727164;22,570347;21/08/2018;20/09/2018;05/09/2018;Portal Cliente
591658389;33381886241168;1;2;31,240000;14,983332;14,879947;21/08/2018;20/09/2018;05/09/2018;Portal Cliente
148182526;33581892102926;1;2;399,980000;192,790360;191,371423;22/08/2018;21/09/2018;05/09/2018;Portal Cliente
148182526;33481889603225;1;1;153,000000;73,332900;72,793170;22/08/2018;21/09/2018;05/09/2018;Portal Cliente
148182526;33481889980505;1;2;95,600000;45,841080;45,503690;22/08/2018;21/09/2018;05/09/2018;Portal Cliente
591658389;33481889554942;1;1;139,800000;67,006140;66,512975;22/08/2018;21/09/2018;05/09/2018;Portal Cliente
591658389;33481891605999;1;2;124,990000;59,902707;59,461823;22/08/2018;21/09/2018;05/09/2018;Portal Cliente
